#Annotated with Bakta (v1.4.2): https://github.com/oschwengers/bakta
#Database (v3.1): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	23	778	+	CJHFKP_00005	rmtB1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1	EC:2.1.1.179, GO:0008649, GO:0046677, NCBIProtein:WP_012372818.1, RefSeq:WP_012372818.1, SO:0001217, UniParc:UPI00001BBAAC, UniRef:UniRef100_Q76G15, UniRef:UniRef50_Q76G15, UniRef:UniRef90_Q76G15
contig_1	cds	859	1311	-	CJHFKP_00010		cation:proton antiporter	SO:0001217, UniRef:UniRef50_UPI00155DC4D9, UniRef:UniRef90_UPI00155DC4D9
contig_1	cds	1667	2725	+	CJHFKP_00015	tnp-ISL3	ISL3 family transposase	SO:0001217, UniParc:UPI000AF1C9A9, UniRef:UniRef100_A0A7I8I0K9, UniRef:UniRef50_A0A0K1ZND7, UniRef:UniRef90_A0A7H9F7Q8
contig_1	cds	2755	3132	+	CJHFKP_00020		60 kDa chaperonin	RefSeq:WP_014342205.1, SO:0001217, UniParc:UPI000243A6EE, UniRef:UniRef100_A0A1Y1CSV0, UniRef:UniRef50_A0A519PXL9, UniRef:UniRef90_A0A1Y1CSV0
contig_1	cds	3092	3331	+	CJHFKP_00025		hypothetical protein	
contig_1	cds	3359	4891	+	CJHFKP_00030		TnpA ISCR21 transposase	RefSeq:WP_012372820.1, SO:0001217, UniParc:UPI00017178CC, UniRef:UniRef100_B1VCH6, UniRef:UniRef50_U5N703, UniRef:UniRef90_U5N703
contig_1	cds	5259	5696	+	CJHFKP_00035		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A410J4N6, UniRef:UniRef90_A0A410J4N6
contig_1	cds	5795	6520	-	CJHFKP_00040	tet(G)	tetracycline efflux MFS transporter Tet(G)	NCBIProtein:WP_001257840.1, SO:0001217, UniRef:UniRef50_A0A6N6XMU0
contig_1	cds	7074	7700	+	CJHFKP_00045	tetR(G)	tetracycline resistance transcriptional repressor TetR(G)	COG:COG1309, COG:K, GO:0003677, GO:0045892, GO:0046677, GO:0046872, RefSeq:WP_000163574.1, SO:0001217, UniParc:UPI00000BE23F, UniRef:UniRef100_A0A741PPD7, UniRef:UniRef50_P51560, UniRef:UniRef90_P51560
contig_1	cds	7707	7910	+	CJHFKP_00050		hypothetical protein	
contig_1	cds	7907	9121	-	CJHFKP_00055	floR2	chloramphenicol/florfenicol efflux MFS transporter FloR2	COG:COG2814, COG:G, NCBIProtein:WP_000214125.1, RefSeq:WP_000214125.1, SO:0001217, UniParc:UPI0000697679, UniRef:UniRef100_A0A482F6C2, UniRef:UniRef50_A0A4U6BZT0, UniRef:UniRef90_A0A6G7YXM9
contig_1	cds	9338	10396	-	CJHFKP_00060	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	NCBIProtein:WP_063855066.1, SO:0001217, UniParc:UPI000ABA978F, UniRef:UniRef100_A0A482F2V0, UniRef:UniRef50_Q8GKW9, UniRef:UniRef90_Q8GKW9
contig_1	cds	10414	10590	+	CJHFKP_00065		hypothetical protein	SO:0001217, UniParc:UPI00042F3BAB, UniRef:UniRef100_A0A7D5KIK8, UniRef:UniRef50_A0A7D5KIK8, UniRef:UniRef90_A0A7D5KIK8
contig_1	cds	10814	11632	-	CJHFKP_00070	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NCBIProtein:WP_001209508.1, SO:0001217, UniParc:UPI0019384049, UniRef:UniRef100_A0A7T0MBJ4, UniRef:UniRef50_P14511, UniRef:UniRef90_Q79JG0
contig_1	cds	11622	12299	-	CJHFKP_00075	blaOXA	OXA-10 family class D beta-lactamase	NCBIProtein:WP_000846390.1, SO:0001217, UniRef:UniRef50_A0A411JJ04, UniRef:UniRef90_A0A411JJ04
contig_1	cds	12687	13508	-	CJHFKP_00080	cmlA5	chloramphenicol efflux MFS transporter CmlA5	NCBIProtein:WP_012300772.1
contig_1	cds	13484	13762	-	CJHFKP_00085		hypothetical protein	
contig_1	sorf	14045	14074	-	CJHFKP_00090		CmlA1 leader peptide	SO:0001217, UniParc:UPI00000B722B, UniRef:UniRef100_A0A0K2B799
contig_1	cds	14141	14287	+	CJHFKP_00095		hypothetical protein	SO:0001217, UniParc:UPI00050D2A97, UniRef:UniRef100_A0A6M4NLX6, UniRef:UniRef50_A0A6M4NLX6, UniRef:UniRef90_A0A6M4NLX6
