#Annotated with Bakta (v1.4.2): https://github.com/oschwengers/bakta
#Database (v3.1): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	159	782	+	LOPNJJ_00005	spoIVCA	TniC protein	COG:COG1961, COG:L, RefSeq:WP_011222094.1, SO:0001217, UniParc:UPI00004539CD, UniRef:UniRef100_A0A7L9EDA4, UniRef:UniRef50_B5WYU1, UniRef:UniRef90_B5WYU1
contig_1	cds	877	1548	-	LOPNJJ_00010	blaOXA	class D beta-lactamase	SO:0001217, UniRef:UniRef50_Q00983, UniRef:UniRef90_Q5W3I4
contig_1	cds	1917	2768	+	LOPNJJ_00015		Resolvase/invertase-type recombinase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7G5X9I2, UniRef:UniRef90_C7T556
contig_1	cds	2770	3444	-	LOPNJJ_00020		Upf31-0	RefSeq:WP_011222091.1, SO:0001217, UniParc:UPI00004539CA, UniRef:UniRef100_Q5W3I6, UniRef:UniRef50_Q08KY5, UniRef:UniRef90_Q08KY5
contig_1	cds	3599	4030	-	LOPNJJ_00025		OmpA-like domain-containing protein	RefSeq:WP_011222090.1, SO:0001217, UniParc:UPI00004539C9, UniRef:UniRef100_Q5W3I7, UniRef:UniRef50_A0A1L5QYQ6, UniRef:UniRef90_A0A1L5QYQ6
contig_1	cds	4046	4744	-	LOPNJJ_00030		TrbP	RefSeq:WP_011222089.1, SO:0001217, UniParc:UPI00004539C8, UniRef:UniRef100_Q5W3I8, UniRef:UniRef50_P71191, UniRef:UniRef90_P71191
contig_1	cds	4744	5010	-	LOPNJJ_00035		TrbO:mating pair formation protein	RefSeq:WP_010890140.1, SO:0001217, UniParc:UPI00000BB532, UniRef:UniRef100_A0A899NKC6, UniRef:UniRef50_A6N8V9, UniRef:UniRef90_U3LPJ0
contig_1	cds	5039	5674	-	LOPNJJ_00040		SLT domain-containing protein	RefSeq:WP_011222088.1, SO:0001217, UniParc:UPI00004539C7, UniRef:UniRef100_A6N8W0, UniRef:UniRef50_A0A6N7D313, UniRef:UniRef90_A0A6N7D313
contig_1	cds	5688	6275	-	LOPNJJ_00045		TrbM	RefSeq:WP_011222087.1, SO:0001217, UniParc:UPI00004539C6, UniRef:UniRef100_Q5W3J1, UniRef:UniRef50_Q5NWL5, UniRef:UniRef90_C7T551
contig_1	cds	6293	8023	-	LOPNJJ_00050	trbL	Mating pair formation protein	RefSeq:WP_011222086.1, SO:0001217, UniParc:UPI00004539C5, UniRef:UniRef100_Q5W3J2, UniRef:UniRef50_Q4AC44, UniRef:UniRef90_Q7X3E2
