# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1284	+	MKHGBK_00005		Rep-3 domain-containing protein	SO:0001217, UniRef:UniRef50_V7DAL9, UniRef:UniRef90_V7DAL9
contig_1	cds	1292	1813	-	MKHGBK_00010		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0015EE5164, UniRef:UniRef90_UPI000B08A986
contig_1	cds	1902	2657	-	MKHGBK_00015	istB	IS21-like element ISPpu7 family helper ATPase IstB	BlastRules:WP_003290589, RefSeq:WP_003290589.1, SO:0001217, UniParc:UPI0000002300, UniRef:UniRef100_A0A7L9EAD3, UniRef:UniRef50_A0A223Q3I5, UniRef:UniRef90_A0A223Q3I5
contig_1	cds	2675	4189	-	MKHGBK_00020	tnp	IS21 family IS1491 transposase	COG:COG4584, COG:X, IS:IS1491, RefSeq:WP_019364253.1, SO:0001217, UniParc:UPI0003008348, UniRef:UniRef100_A0A7L9E938, UniRef:UniRef50_A0A3M3EEK6, UniRef:UniRef90_Q1HA08
contig_1	cds	4349	4849	-	MKHGBK_00025		hypothetical protein	
contig_1	cds	4961	5617	-	MKHGBK_00030		XRE family transcriptional regulator	RefSeq:WP_039614026.1, SO:0001217, UniParc:UPI00057FAD69, UniRef:UniRef100_A0A3G1HJM6, UniRef:UniRef50_A0A2S3WKL0, UniRef:UniRef90_A0A2S3WKL0
contig_1	cds	5634	6449	-	MKHGBK_00035		Histidine kinase	RefSeq:WP_004577635.1, SO:0001217, UniParc:UPI0002D1A78A, UniRef:UniRef100_A0A2S3WKD2, UniRef:UniRef50_A0A3M4JVP7, UniRef:UniRef90_A0A3G1DG33
contig_1	cds	6757	7374	+	MKHGBK_00040		BTB domain-containing protein	RefSeq:WP_023662212.1, SO:0001217, UniParc:UPI0003CCC518, UniRef:UniRef100_A0A3G1DGB4, UniRef:UniRef50_A0A1L7NNR8, UniRef:UniRef90_A0A1L7NNR8
contig_1	cds	7414	7737	-	MKHGBK_00045		MMS1-N domain-containing protein	RefSeq:WP_004577633.1, SO:0001217, UniParc:UPI0002D153D7, UniRef:UniRef100_A0A1L7NNS4, UniRef:UniRef50_A0A136Q9V2, UniRef:UniRef90_A0A1L7NNS4
contig_1	cds	7847	8215	+	MKHGBK_00050		DNA binding protein	SO:0001217, UniRef:UniRef50_I7BF70, UniRef:UniRef90_A0A5P2S8S2
contig_1	cds	8302	9462	-	MKHGBK_00055		Sigma-70 family RNA polymerase sigma factor	SO:0001217, UniRef:UniRef50_A0A2L0T674, UniRef:UniRef90_V7D7H0
contig_1	cds	9487	9771	-	MKHGBK_00060		Acriflavin resistance protein	RefSeq:WP_004577630.1, SO:0001217, UniParc:UPI0002D1CF84, UniRef:UniRef100_A0A3G1DGB1, UniRef:UniRef50_A0A2A3M1J5, UniRef:UniRef90_A0A2A3M1J5
contig_1	cds	9934	10218	-	MKHGBK_00065		LOB domain-containing protein	RefSeq:WP_146048267.1, SO:0001217, UniParc:UPI00090B79E0, UniRef:UniRef100_A0A1L7NNS1, UniRef:UniRef50_A0A3M4JV82, UniRef:UniRef90_A0A1L7NNS1
contig_1	cds	10487	11032	-	MKHGBK_00070		SH3 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1L7NNV5
contig_1	cds	11128	12129	-	MKHGBK_00075	yqaJ	YqaJ domain-containing protein	SO:0001217, UniRef:UniRef50_R9VE38, UniRef:UniRef90_R9VE38
contig_1	cds	12321	12959	-	MKHGBK_00080		Lipoprotein	RefSeq:WP_023662208.1, SO:0001217, UniParc:UPI0003CCC174, UniRef:UniRef100_A0A3G1DGC4, UniRef:UniRef50_A0A1L7NNX6, UniRef:UniRef90_A0A1L7NNX6
contig_1	cds	13310	14386	+	MKHGBK_00085		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00117BD29C, UniRef:UniRef90_UPI00117BD29C
contig_1	cds	14408	14731	+	MKHGBK_00090		Transposase	SO:0001217, UniRef:UniRef50_A0A3E1UWZ9, UniRef:UniRef90_UPI00117A34B9
contig_1	cds	15400	15924	-	MKHGBK_00095		RDD domain-containing protein	RefSeq:WP_039614030.1, SO:0001217, UniParc:UPI00057E5D86, UniRef:UniRef100_A0A0C1KEV0, UniRef:UniRef50_A0A3G1DGC2, UniRef:UniRef90_A0A3G1DGC2
contig_1	cds	15948	16649	-	MKHGBK_00100		hypothetical protein	RefSeq:WP_023662206.1, SO:0001217, UniParc:UPI0003CCC5C7, UniRef:UniRef100_A0A3G1DGB6, UniRef:UniRef50_A0A1L7NNS8, UniRef:UniRef90_A0A1L7NNS8
