sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	642107	644587						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00623	CP016634	ISAisp2	IS3	1232	1	1232	670403	671634						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	740376	741914						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	742927	745289						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00910	CP023316	ISPpu18	IS5	1192	8	1192	966434	967618						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	1575818	1577356						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	1578369	1580731						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00910	CP023316	ISPpu18	IS5	1192	8	1192	2534504	2535688						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00623	CP016634	ISAisp2	IS3	1232	1	1232	2542332	2543563						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	2549368	2551848						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00623	CP016634	ISAisp2	IS3	1232	1	1232	2585424	2586655						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	2590225	2592705						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	2602665	2605144						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	2614374	2616854						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00728	CP016634	ISRme10	IS30	1113	1	1113	3002479	3003591						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00623	CP016634	ISAisp2	IS3	1232	1	1232	3092557	3093788						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	3120653	3123133						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	3138455	3140935						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00728	CP016634	ISRme10	IS30	1113	1	1113	3152252	3153364						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00623	CP016634	ISAisp2	IS3	1232	1	1232	3514846	3516077						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	3934673	3937152						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	4173286	4175648						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	4176661	4178193						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	01029	KU997026	IS6100	IS6	5466	474	3718	4560098	4563341						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	4635511	4637991						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00728	CP016634	ISRme10	IS30	1113	1	1113	4694615	4695727						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00910	CP023316	ISPpu18	IS5	1192	8	1192	4734688	4735872						
contigs	chromosome			contig00001 len=5670204 cov=33.0 origname=contig_2_pilon_pilon_pilon_polypolish_polypolish_polypolish polish=racon:3 round(s);pilon:short_reads,3 round(s);polypolish:short_reads,3 round(s); sw=dragonflye-flye/1.0.14 date=20230315 circular=N	5670204	0.6182528882558723	ff016376af8051d7e448144556de27e2	00255	KY883660	ISSpu5	IS21	2481	1	2481	4753557	4756037						
