# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
proteus_vim_ac082	cds	23	778	+	CJHFKP_00005	rmtB1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1	EC:2.1.1.179, GO:0008649, GO:0046677, NCBIProtein:WP_012372818.1, RefSeq:WP_012372818.1, SO:0001217, UniParc:UPI00001BBAAC, UniRef:UniRef100_Q76G15, UniRef:UniRef50_Q76G15, UniRef:UniRef90_Q76G15
proteus_vim_ac082	cds	859	1407	-	CJHFKP_00010		Na(+)/H(+) antiporter	RefSeq:WP_014342204.1, SO:0001217, UniParc:UPI000243A6ED, UniRef:UniRef100_A0A1Y1CQN9, UniRef:UniRef50_A0A1Y1CQN9, UniRef:UniRef90_A0A1Y1CQN9
proteus_vim_ac082	cds	1523	2725	+	CJHFKP_00015	tnp	ISL3 family ISAeme19 transposase	IS:ISAeme19, RefSeq:WP_076611394.1, SO:0001217, UniParc:UPI000444D9FD, UniRef:UniRef100_A0A7H9F7Q8, UniRef:UniRef50_A0A663AV98, UniRef:UniRef90_A0A8D6RSY7
proteus_vim_ac082	cds	2755	3132	+	CJHFKP_00020		Phage integrase N-terminal SAM-like domain-containing protein	RefSeq:WP_014342205.1, SO:0001217, UniParc:UPI000243A6EE, UniRef:UniRef100_A0A1Y1CSV0, UniRef:UniRef50_A0A5C7SH07, UniRef:UniRef90_A0A8G1QE20
proteus_vim_ac082	cds	3359	4891	+	CJHFKP_00025		Zn-Tnp-IS91 domain-containing protein	SO:0001217, UniParc:UPI00017178CC, UniRef:UniRef100_B1VCH6, UniRef:UniRef50_A0A866WPE2, UniRef:UniRef90_A0A6C0L2R3
proteus_vim_ac082	cds	4983	5705	-	CJHFKP_00030		Transcriptional regulator	RefSeq:WP_223151157.1, SO:0001217, UniParc:UPI0005D76CC4, UniRef:UniRef100_A0A3T0PX27, UniRef:UniRef50_Q2FD25, UniRef:UniRef90_Q2FD25
proteus_vim_ac082	cds	5795	6970	-	CJHFKP_00035	tet(G)	tetracycline efflux MFS transporter Tet(G)	COG:COG2814, COG:G, GO:0005886, GO:0015297, GO:0046677, GO:1902600, NCBIProtein:WP_001257840.1, RefSeq:WP_001257840.1, SO:0001217, UniParc:UPI00000B09B3, UniRef:UniRef100_A0A741PW90, UniRef:UniRef50_P02981, UniRef:UniRef90_P51563
proteus_vim_ac082	cds	7074	7700	+	CJHFKP_00040	tetR(G)	tetracycline resistance transcriptional repressor TetR(G)	BlastRules:WP_000163574, COG:COG1309, COG:K, GO:0003677, GO:0045892, GO:0046677, GO:0046872, RefSeq:WP_000163574.1, SO:0001217, UniParc:UPI00000BE23F, UniRef:UniRef100_A0A741PPD7, UniRef:UniRef50_P51560, UniRef:UniRef90_P51560
proteus_vim_ac082	cds	7907	9121	-	CJHFKP_00045	floR2	chloramphenicol/florfenicol efflux MFS transporter FloR2	COG:COG2814, COG:G, KEGG:K18552, NCBIProtein:WP_000214125.1, RefSeq:WP_000214125.1, SO:0001217, UniParc:UPI0000697679, UniRef:UniRef100_A0A482F6C2, UniRef:UniRef50_A0A8E6P3I5, UniRef:UniRef90_A0A6G7YXM9
proteus_vim_ac082	cds	9338	10309	-	CJHFKP_00050	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	NCBIProtein:WP_063855066.1, RefSeq:WP_000259026.1, SO:0001217, UniParc:UPI0001B9ACA6, UniRef:UniRef100_A0A482F2V0, UniRef:UniRef50_P0C002, UniRef:UniRef90_Q8GKW9
