# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	159	782	+	LOPNJJ_00005	spoIVCA	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	COG:COG1961, COG:L, RefSeq:WP_011222094.1, SO:0001217, UniParc:UPI00004539CD, UniRef:UniRef100_A0A7L9EDA4, UniRef:UniRef50_A0A4Y1LRB1, UniRef:UniRef90_B8F0B7
contig_1	cds	877	1659	-	LOPNJJ_00010	blaOXA	class D beta-lactamase	NCBIFam:NF012161.0, SO:0001217, UniParc:UPI00004539CC, UniRef:UniRef100_Q5W3I4, UniRef:UniRef50_Q00983, UniRef:UniRef90_Q5W3I4
contig_1	cds	1917	2768	+	LOPNJJ_00015		Resolvase/invertase-type recombinase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_C7T556, UniRef:UniRef90_C7T556
contig_1	cds	2770	3444	-	LOPNJJ_00020		site-specific DNA-methyltransferase (adenine-specific)	RefSeq:WP_011222091.1, SO:0001217, UniParc:UPI00004539CA, UniRef:UniRef100_Q5W3I6, UniRef:UniRef50_Q08KY5, UniRef:UniRef90_Q08KY5
contig_1	cds	3599	4030	-	LOPNJJ_00025		OmpA-like domain-containing protein	RefSeq:WP_011222090.1, SO:0001217, UniParc:UPI00004539C9, UniRef:UniRef100_Q5W3I7, UniRef:UniRef50_A0A1L5QYQ6, UniRef:UniRef90_A0A1L5QYQ6
contig_1	cds	4046	4744	-	LOPNJJ_00030	trbP	TrbP	RefSeq:WP_011222089.1, SO:0001217, UniParc:UPI00004539C8, UniRef:UniRef100_Q5W3I8, UniRef:UniRef50_A0A899NDB1, UniRef:UniRef90_A0A899NDB1
contig_1	cds	4744	5010	-	LOPNJJ_00035	trbO	Conjugal transfer protein TrbO	RefSeq:WP_010890140.1, SO:0001217, UniParc:UPI00000BB532, UniRef:UniRef100_A0A899NKC6, UniRef:UniRef50_A6N8V9, UniRef:UniRef90_A0A899NKC6
contig_1	cds	5039	5674	-	LOPNJJ_00040		SLT domain-containing protein	RefSeq:WP_011222088.1, SO:0001217, UniParc:UPI00004539C7, UniRef:UniRef100_A6N8W0, UniRef:UniRef50_A0A899NBQ9, UniRef:UniRef90_A0A899NBQ9
contig_1	cds	5688	6275	-	LOPNJJ_00045	trbM	Conjugal transfer protein TrbM	RefSeq:WP_011222087.1, SO:0001217, UniParc:UPI00004539C6, UniRef:UniRef100_Q5W3J1, UniRef:UniRef50_B0ZB69, UniRef:UniRef90_A0A899NCR3
contig_1	cds	6293	8023	-	LOPNJJ_00050	trbL	P-type conjugative transfer protein TrbL	KEGG:K07344, RefSeq:WP_011222086.1, SO:0001217, UniParc:UPI00004539C5, UniRef:UniRef100_Q5W3J2, UniRef:UniRef50_Q4AC44, UniRef:UniRef90_A0A899NDT8
