sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	00442	CP017672	ISYal1	IS3	1187	183	1186	66433	67424						
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	01399	CP016586.1	16s-rRNA	16S	1554	1	1547	210263	211810						
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	01400	CP016586.1	23s-rRNA	23S	3027	1288	3026	213759	215497						
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	00442	CP017672	ISYal1	IS3	1187	1	1187	1479585	1480771						
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	01400	CP016586.1	23s-rRNA	23S	3027	1288	3026	2262794	2264532						
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	01399	CP016586.1	16s-rRNA	16S	1554	4	1553	2266667	2268217						
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	01400	CP016586.1	23s-rRNA	23S	3027	659	3026	2976340	2978707						
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	01399	CP016586.1	16s-rRNA	16S	1554	4	1553	2979637	2981187						
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	01400	CP016586.1	23s-rRNA	23S	3027	659	3026	3216913	3219280						
assembly	chromosome			1 length=3252987 depth=1.00x	3252987	0.3878088046463143	ffec227d10d876585507954b01c40925	01399	CP016586.1	16s-rRNA	16S	1554	4	1553	3220511	3222061						
assembly	chromosome			2 length=451292 depth=1.30x	451292	0.3967254017354617	775a4538760c709684820377efaccf5b	00021	HQ840942	IS1D	IS1	3030	19	2264	2972	5217						
assembly	chromosome			2 length=451292 depth=1.30x	451292	0.3967254017354617	775a4538760c709684820377efaccf5b	00918	LT898486	ISKpn26	IS5	1197	1	1196	5218	6412						
assembly	chromosome			2 length=451292 depth=1.30x	451292	0.3967254017354617	775a4538760c709684820377efaccf5b	01154	JN157804	ISEc23	IS66	2534	178	2534	6413	8769						
assembly	chromosome			2 length=451292 depth=1.30x	451292	0.3967254017354617	775a4538760c709684820377efaccf5b	00459	CP006262	IS629	IS3	1314	4	1314	14556	15866						
assembly	chromosome			2 length=451292 depth=1.30x	451292	0.3967254017354617	775a4538760c709684820377efaccf5b	01399	CP016586.1	16s-rRNA	16S	1554	1	1547	285187	286734						
assembly	chromosome			2 length=451292 depth=1.30x	451292	0.3967254017354617	775a4538760c709684820377efaccf5b	01400	CP016586.1	23s-rRNA	23S	3027	659	3026	288145	290512						
assembly	chromosome			3 length=287844 depth=1.40x	287844	0.40334695182112534	ac8abbdeef3cbeae3622258c034f1921	00547	LT898484	ISEhe4	IS3	15214	1	4734	187000	191734						
assembly	chromosome			3 length=287844 depth=1.40x	287844	0.40334695182112534	ac8abbdeef3cbeae3622258c034f1921	00547	LT898484	ISEhe4	IS3	15214	5956	15214	191731	200989						
assembly	chromosome			3 length=287844 depth=1.40x	287844	0.40334695182112534	ac8abbdeef3cbeae3622258c034f1921	01399	CP016586.1	16s-rRNA	16S	1554	1	1547	224033	225580						
